ID,CIS_summary,Summary2,Summary3
4.7,Ensure that 'Email service and co-administrators' is 'Enabled',Database Instance Threat Detection Administrator Alerts Disabled,
4.8,Ensure that Azure Active Directory Admin is configured,Database Instance Azure Active Directory Admin Not Configured,X
4.9,Ensure that 'Data encryption' is set to 'On' on a SQL Database,Database Data Not Encrypted,X
4.1,Ensure SQL server's TDE protector is encrypted with BYOK,Database Instance Not Configured to Use Customer Provided Key,X
4.11,"Ensure 'Enforce SSL connection' is set to 'ENABLED' for MySQLDatabase Server ",MySQL Database Instance Not Enforcing Transit Encryption,
4.12,"Ensure server parameter 'log_checkpoints' is set to 'ON' forPostgreSQL Database Server",PostgreSQL Database Instance Not Configured to Log Checkpoints,X
4.13,"Ensure 'Enforce SSL connection' is set to 'ENABLED' for PostgreSQLDatabase Server",PostgreSQL Database Instance Not Enforcing Transit Encryption,
4.14,"Ensure server parameter 'log_connections' is set to 'ON' forPostgreSQL Database Server",PostgreSQL Database Instance Not Configured to Log Connections,X
4.15,"Ensure server parameter 'log_disconnections' is set to 'ON' forPostgreSQL Database Server",PostgreSQL Database Instance Not Configured to Log Disconnections,X
4.16,"Ensure server parameter 'log_duration' is set to 'ON' forPostgreSQL Database Server ",PostgreSQL Database Instance Not Configured to Log Duration,
4.17,"Ensure server parameter 'connection_throttling' is set to 'ON' forPostgreSQL Database Server",PostgreSQL Database Instance Not Configured to Throttle Connections,X
4.18,"Ensure server parameter 'log_retention_days' is greater than 3days for PostgreSQL Database Server",PostgreSQL Database Instance Log Retention Below Threshold,
5.1,Logging & Monitoring,,
5.1.1,Ensure that a Log Profile exists,Activity Log Profile Not Configured,X
5.1.2,Ensure that Activity Log Retention is set 365 days or greater,Activity Log Retention Less Than 365 Days,X
5.1.3,Ensure audit profile captures all the activities,Activity Log Profile Does Not Capture All Activities,X
5.1.4,"Ensure the log profile captures activity logs for all regionsincluding global",Activity Log Profile Not Configured For All Regions,X
5.1.5,"Ensure the storage container storing the activity logs is notpublicly accessible ",Storage Container Containing Activity Logs Exposed To The Public,
5.1.6,"Ensure the storage account containing the container with activitylogs is encrypted with BYOK",Storage Acount For Activity Logs Not Encrypted With Customer Managed Key,X
5.1.7,Ensure that logging for Azure KeyVault is 'Enabled',,X
5.2,Monitoring Using Activity Log Alerts,,
5.2.1,Ensure that Activity Log Alert exists for Create Policy Assignment ,,X
5.2.2,"Ensure that Activity Log Alert exists for Create or Update NetworkSecurity Group Rule ",,X
5.2.3,"Ensure that Activity Log Alert exists for Delete Network SecurityGroup",,X
5.2.4,"Ensure that Activity Log Alert exists for Create or Update NetworkSecurity Group Rule",,X
5.2.5,"Ensure that activity log alert exists for the Delete Network SecurityGroup Rule",,X
5.2.6,"Ensure that Activity Log Alert exists for Create or Update SecuritySolution", ,X
5.2.7,Ensure that Activity Log Alert exists for Delete Security Solution,,X
5.2.8,"Ensure that Activity Log Alert exists for Create or Update or DeleteSQL Server Firewall Rule",,X
5.2.9,Ensure that Activity Log Alert exists for Update Security Policy ,,X
6,Networking,,
6.1,Ensure that RDP access is restricted from the internet,Instance Exposing SSH To World,X
6.2,Ensure that SSH access is restricted from the internet,Database Instance Publicly Accessible,X
6.3,Ensure no SQL Databases allow ingress 0.0.0.0/0 ,,
6.4,Ensure that Network Security Group Flow Log retention period is 'greater than 90 days',,
6.5,Ensure that Network Watcher is 'Enabled',Network Watcher Not Enabled For All Regions,X
7,Virtual Machines,,
7.1,Ensure that 'OS disk' are encrypted,OS Disk Not Encrypted,X
7.2,Ensure that 'Data disks' are encrypted,Data Disks Not Encrypted,X
7.3,Ensure that 'Unattached disks' are encrypted,,X
7.4,Ensure that only approved extensions are installed,"",X
7.5,Ensure that the latest OS Patches for all Virtual Machines are applied,,X
7.6,Ensure that the endpoint protection for all Virtual Machines is installed,Virtual Machine Endpoint Protection Extension Not Installed,X
8,Other Security Considerations,,
8.1,Ensure that the expiration date is set on all keys ,Encryption Keys Without Expiration,
8.2,Ensure that the expiration date is set on all Secrets ,Secrets Without Expiration,
8.3,Ensure that Resource Locks are set for mission critical Azure resources,,
8.4,Ensure the key vault is recoverable,Key Vault Is Not Recoverable,X
8.5,"Enable role-based access control (RBAC) within Azure KubernetesServices",Kubernetes Cluster Running With Basic Authentication,X
9,AppService,,
9.1,Ensure App Service Authentication is set on Azure App Service ,App Service Not Requiring Authentication,X
9.2,"Ensure web app redirects all HTTP traffic to HTTPS in Azure AppService ",App Service Not Enforcing HTTPS,X
9.3,Ensure web app is using the latest version of TLS encryption,,
9.4,Ensure the web app has 'Client Certificates (Incoming client certificates)' set to 'On' ,App Service Not Enforcing Client Certificate Validation,X
9.5,Ensure that Register with Azure Active Directory is enabled on App Service,App Service Without Managed Identity Enabled,
9.6,"Ensure that '.Net Framework' version is the latest, if used as a part of the web app ",,
9.7,"Ensure that 'PHP version' is the latest, if used to run the web app ",,
9.8,"Ensure that 'Python version' is the latest, if used to run the web app ",,
9.9,"Ensure that 'Java version' is the latest, if used to run the web app ",,
9.1,"Ensure that 'HTTP Version' is the latest, if used to run the web app ",,X
