pci_3,description
"P09.05.01","Store media backups in a secure location, preferably an off-site facility, such as an alternate or backup site, or"
"P09.06.01","Classify media so the sensitivity of the data can be determined"
"P09.06.02","Send the media by secured courier or other delivery method that can be accurately tracked"
"P09.06.03","Ensure management approves any and all media that is moved from a secured area"
"P09.07.01","Properly maintain inventory logs of all media and conduct media inventories at least annually"
"P09.08.01","Shred, incinerate, or pulp hardcopy materials so that cardholder data cannot be reconstructed"
"P09.08.02","Render cardholder data on electronic media unrecoverable so that cardholder data cannot be reconstructed"
"P09.09.01","Maintain an up-to-date list of devices. The list should include the following:; Make, model of device ; Location of device"
"P09.09.02","Periodically inspect device surfaces to detect tampering"
"P09.09.03","Provide training for personnel to be aware of attempted tampering or replacement of devices. Training should include the following:; Verify the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices.; Do not install, replace, or return devices without verification. ; Be aware of suspicious behavior around devices"
"P10.02.01","All individual user accesses to cardholder data"
"P10.02.02","All actions taken by any individual with root or administrative privileges"
"P10.02.03","Access to all audit trail"
"P10.02.04","Invalid logical access attempt"
"P10.02.06","Initialization, stopping, or pausing of the audit logs"
"P10.02.07","Creation and deletion of system level object"
"P10.03.01","User identification"
"P10.03.02","Type of event"
"P10.03.03","Date and time"
"P10.03.04","Success or failure indication"
"P10.03.05","Origination of event"
"P10.03.06","Identity or name of affected data, system component, or resources"
"P10.04.01","Critical systems have the correct and consistent time"
"P10.04.02","Time data is protected"
"P10.04.03","Time settings are received from industry-accepted time source"
"P10.05.01","Limit viewing of audit trails to those with a job-related need"
"P10.05.02","Protect audit trail files from unauthorized modification"
"P10.05.03","Promptly back up audit trail files to a centralized log server or media that is difficult to alter"
"P10.05.04","Write logs for external-facing technologies onto a log server on the internal log server or media device"
"P10.05.05","Use file integrity monitoring or change-detection software on logs to ensure that existing log data cannot be changed without generating alerts"
"P10.06.01","Review the following at least daily:; All security events ; Logs of all system components that store, process, or transmit CHD and/or SAD, or that could impact the security of CHD and/or SAD ; Logs of all critical system components; Logs of all servers and system components that perform security functions"
"P10.06.02","Review logs of all other system components periodically based on the organization’s policies and risk management strategy, as determined by the organization’s annual risk assessment"
"P10.06.03","Follow up exceptions and anomalies identified during the review process"
"P11.01.01","Maintain an inventory of authorized wireless access points including a documented business justification"
"P11.01.02","Implement incident response procedures in the event unauthorized wireless access points are detected"
"P11.02.01","Perform quarterly internal vulnerability scans and rescans as needed, until all “high-risk” vulnerabilities"
"P11.02.02","Perform quarterly external vulnerability scans, via an Approved Scanning Vendor"
"P11.02.03","Perform internal and external scans, and rescans as needed, after any significant change. Scans must be performed by qualified personnel"
"P11.03.01","Perform external penetration testing at least annually and after any significant infrastructure or application"
"P11.03.02","Perform internal  penetration testing at least annually and after any significant infrastructure or application upgrade or modification"
"P11.03.03","Exploitable vulnerabilities found during penetration testing are corrected and testing is repeated to verify"
"P11.03.04","If segmentation is used to isolate the CDE from other networks, perform penetration tests at least annually"
"P11.05.01","Implement a process to respond to any alerts generated by the change detection solution"
"P12.01.01","Review the security policy at least annually and update the policy when the environment change"
"P12.03.01","Explicit approval by authorized parties"
"P12.03.02","Authentication for use of the technology"
"P12.03.03","A list of all such devices and personnel with access"
"P12.03.04","A method to accurately and readily determine owner, contact information, and purposes"
"P12.03.05","Acceptable uses of the technology"
"P12.03.06","Acceptable network locations for the technologies"
"P12.03.07","List of company-approved product"
"P12.03.08","Automatic disconnect of sessions for remote-access technologies after a specific period of inactivity"
"P12.03.09","Activation of remote-access technologies for vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use"
"P12.03.10","For personnel accessing cardholder data via remote-access technologies, prohibit the copying, moving, and storage of cardholder data onto local hard drives and removable electronic media, unless explicitly authorized for a defined business needs"
"P12.05.01","Establish, document, and distribute security policies and procedures"
"P12.05.02","Monitor and analyze security alerts and information, and distribute to appropriate personnel"
"P12.05.03","Establish, document, and distribute security incident response and escalation procedures to ensure timely and effective handling of all situations"
"P12.05.04","Administer user accounts, including additions, deletions, and modifications"
"P12.05.05","Monitor and control all access to data"
"P12.06.01","Educate personnel upon hire at least annually"
"P12.06.02","Require personnel to acknowledge at least annually that they have read and understood the security policy and procedure"
"P12.08.01","Maintain a list of service providers"
"P12.08.02","Maintain a written agreement that includes an acknowledgement that the service providers are responsible for the security of cardholder data the service providers possess or otherwise store, process or transmit on behalf of the customer, or to the extent that they could impact the security of the customer’s cardholder data environment"
"P12.08.03","Ensure there is an established process for engaging service providers including proper due diligence prior to engagemen"
"P12.08.04","Maintain a program to monitor service providers’ PCI DSS compliance status at least annually"
"P12.08.05","Maintain information about which PCI DSS requirements are managed by each service provider, and which are managed by the entity"
"P12.10.01","Create the incident response plan to be implemented in the event of system breach.  Ensure the plan addresses the following, at a minimum:; Roles, responsibilities and communication and contact strategies in the event of a compromise including notification of the payment brands, at a minimum; Specific incident response procedures; Business recovery and continuity procedures; Data back-up processes; Analysis of legal requirements for reporting compromises; Coverage and responses of all critical system components; Reference or inclusion of incident response procedures from the payment brands"
"P12.10.02","Test the plan at least annually"
"P12.10.03","Designate specific personnel to be available on a 24/7 basis to respond to alerts"
"P12.10.04","Provide appropriate training to staff with security breach response responsibilities"
"P12.10.05","Include alerts from intrusion detection, intrusion prevention, and file integrity monitoring systems"
"P12.10.06","Develop a process to modify and evolve the incident response plan according to lessons learned and to incorporate industry development"
