pci_2,description
"P06.04","Follow change control processes and procedures for all changes to system components. The processes must include the following:"
"P06.05","Address common coding vulnerabilities in software-development processes as follows:; Train developers in secure coding techniques, including how to avoid common coding vulnerabilities, and understanding how sensitive data is handled in memory.; Develop applications based on secure coding guidelines"
"P06.06","For public-facing web applications, address new threats and vulnerabilities on an ongoing basis and ensure these applications are protected against known attacks by either of the following methods:; Reviewing public-facing web applications via manual or automated application vulnerability security assessment tools or methods, at least annually and after any changes"
"P06.07","Ensure that security policies and operational procedures for developing and maintaining secure systems and applications are documented, in use, and known to all affected parties"
"P07.01","Limit access to system components and cardholder data to only those individuals whose job requires such access"
"P07.02","Establish an access control system for systems components with multiple users that restricts access based on a user’s need to know, and is set to “deny all” unless specifically allowed"
"P07.03","Ensure that security policies and operational procedures for restricting access to cardholder data are documented, in use, and known to all affected parties"
"P08.01","Define and implement policies and procedures to ensure proper user identification management for nonconsumer users and administrators on all system components as follows:"
"P08.02","In addition to assigning a unique ID, employ at least one of the following methods to authenticate all users:; Something you know, such as a password or passphrase; Something you have, such as a token device or smart card; Something you are, such as a biometric"
"P08.03","Incorporate two-factor authentication for remote network access originating from outside the network by personnel (including users and administrators) and all third parties, (including vendor access "
"P08.04","Document and communicate authentication procedures and policies to all users including:; Guidance on selecting strong authentication credentials ; Guidance for how users should protect their authentication credentials; Instructions not to reuse previously used passwords; Instructions to change passwords if there is any suspicion the password could be compromised"
"P08.05","Do not use group, shared, or generic IDs, passwords, or other authentication methods as follows:; Generic user IDs are disabled or removed.; Shared user IDs do not exist for system administration and other critical functions.; Shared and generic user IDs are not used to administer any system components"
"P08.06","Where other authentication mechanisms are used (for example, physical or logical security tokens, smart cards, certificates, etc.), use of these mechanisms must be assigned as follows:; Authentication mechanisms must be assigned to an individual account and not shared among multiple accounts.; Physical and/or logical controls must be in place to ensure only the intended account can use that mechanism to gain access"
"P08.07","All access to any database containing cardholder data (including access by applications, administrators, and all other users) is restricted as follows:; All user access to, user queries of, and user actions on databases are through programmatic methods.; Only database administrators have the ability to directly access or query databases.; Application IDs for database applications can only be used by the applications (and not by individual users or other non-application processes)"
"P08.08","Ensure that security policies and operational procedures for identification and authentication are documented, in use, and known to all affected parties"
"P09.01","Use appropriate facility entry controls to limit and monitor physical access to systems in the cardholder data environment"
"P09.02","Develop procedures to easily distinguish between onsite personnel and visitors to include:; Identifying new onsite personnel or visitors (for example, assigning badges); Changes to access requirements; Revoking or terminating onsite personnel and expired visitor identification (such as ID badges)"
"P09.03","Control physical access for onsite personnel to the sensitive areas as follows:; Access must be authorized and based on individual job function.; Access is revoked immediately upon termination, and all physical access mechanisms, such as keys, access cards, etc., are returned or disabled"
"P09.04","Implement procedures to identify and authorize visitors"
"P09.05","Physically secure all media"
"P09.06","Maintain strict control over the internal or external distribution of any kind of media, including the following:"
"P09.07","Maintain strict control over the storage and accessibility of media"
"P09.08","Destroy media when it is no longer needed for business or legal reasons as follows:"
"P09.09","Protect devices that capture payment card data via direct physical interaction with the card from tampering and "
"P09.10","Ensure that security policies and operational procedures for restricting physical access to cardholder data are "
"P10.01","Implement audit trails to link all access to system components to each individual user"
"P10.02","Implement automated audit trails for all system components to reconstruct the following events"
"P10.02","5 Use of and changes to identification and authentication "
"P10.03","Record at least the following audit trail entries for all system components for each event:"
"P10.04","Using time synchronization technology, synchronize all critical system clocks and times and ensure that the following is implemented for acquiring, distributing, and storing time"
"P10.05","Secure audit trails so they cannot be altered"
"P10.06","Review logs and security events for all system components to identify anomalies or suspicious activity"
"P10.07","Retain audit trail history for at least one year, with a minimum of three months immediately available for analysis (for example, online, archived, or restorable from backup)"
"P10.08","Ensure that security policies and operational procedures for monitoring all access to network resources and "
"P11.01","Implement processes to test for the presence of wireless access points (802.11), and detect and identify all authorized and unauthorized wireless access points on a quarterly basis"
"P11.02","Run internal and external network vulnerability scans at least quarterly and after any significant change in the network "
"P11.03","Implement a methodology for penetration testing that includes the following:; Is based on industry-accepted penetration testing approaches (for example, NIST SP800-115); Includes coverage for the entire CDE perimeter and critical systems; Includes testing from both inside and outside the network; Includes testing to validate any segmentation and scope-reduction controls; Defines application-layer penetration tests to include, at a minimum, the vulnerabilities listed in Requirement 6.5; Defines network-layer penetration tests to include components that support network functions as well as operating systems; Includes review and consideration of threats and vulnerabilities experienced in the last 12 months ; Specifies retention of penetration testing results and remediation activities results"
"P11.04","Use intrusion-detection and/or intrusion-prevention techniques to detect and/or prevent intrusions into the network"
"P11.05","Deploy a change-detection mechanism (for example, file-integrity monitoring tools) to alert personnel to unauthorized modification of critical system files, configuration files, or content files; and configure the software to perform critical file comparisons at least weekly"
"P11.06","Ensure that security policies and operational procedures for security monitoring and testing are documented, in "
"P12.01","Establish, publish, maintain, and disseminate a security policy that accomplishes the following:"
"P12.02","Implement a risk-assessment process that:; Is performed at least annually and upon significant changes to the environment (for example, acquisition, merger, relocation, etc.), ; Identifies critical assets, threats, and vulnerabilities, and ; Results in a formal risk assessment"
"P12.03","Develop usage policies for critical technologies and define proper use of these technologies"
"P12.04","Ensure that the security policy and procedures clearly define information security responsibilities for all personnel"
"P12.05","Assign to an individual or team the following information security management responsibilities:"
"P12.06","Implement a formal security awareness program to make all personnel aware of the importance of cardholder data security"
"P12.07","Screen potential personnel prior to hire to minimize the risk of attacks from internal sources. (Examples of background checks include previous employment history, criminal record, credit history and reference checks.)"
"P12.08","Maintain and implement policies and procedures to manage service providers with whom cardholder data is shared, or that could affect the security of cardholder data, as follows:"
"P12.09","Additional requirement for service providers: Service providers acknowledge in writing to customers that they are responsible for the security of cardholder data the service provider possesses or otherwise stores, processes, or transmits on behalf of the customer, or to the extent that they could impact the security of the customer’s cardholder data "
"P12.10","Implement an incident response plan. Be prepared to respond immediately to a system breach"
