GroupId_3,GroupName_3,Text_3
"A.10.10.06","Clock synchronization","The clocks of all relevant information processing systems within an organization or security domain shall be synchronized with an agreed accurate time source"
"A.11.01.01","Access control policy","An access control policy shall be established, documented, and reviewed based on business and security requirements for access"
"A.11.02.01","User registration","There shall be a formal user registration and de-registration procedure in place for granting and revoking access to all information systems and services"
"A.11.02.02","Privilege management","The allocation and use of privileges shall be restricted and controlled"
"A.11.02.03","User password management","The allocation of passwords shall be controlled through a formal management process"
"A.11.02.04","Review of user access rights","Management shall review users’ access rights at regular intervals using a formal process"
"A.11.03.01","Password use","Users shall be required to follow good security practices in the selection and use of passwords"
"A.11.03.02","Unattended user equipment","Users shall ensure that unattended equipment has appropriate protection"
"A.11.03.03","Clear desk and clear screen policy","A clear desk policy for papers and removable storage media and a clear screen policy for information processing facilities shall be adopted"
"A.11.04.01","Policy on use of network services","Users shall only be provided with access to the services that they have been specifically authorized to use"
"A.11.04.02","User authentication for external connections","Appropriate authentication methods shall be used to control access by remote users"
"A.11.04.03","Equipment identification in networks","Automatic equipment identification shall be considered as a means to authenticate connections from specific locations and equipment"
"A.11.04.04","Remote diagnostic and configuration port protection","Physical and logical access to diagnostic and configuration ports shall be controlled"
"A.11.04.05","Segregation in networks","Groups of information services, users, and information systems shall be segregated on networks"
"A.11.04.06","Network connection contro","For shared networks, especially those extending across the organization’s boundaries, the capability of users to connect to the network shall be restricted, in line with the access control policy and requirements of the business applications (see 11.1)"
"A.11.04.07","Network routing contro","Routing controls shall be implemented for networks to ensure that computer connections and information flows do not breach the access control policy of the business applications"
"A.11.05.01","Secure log-on procedures","Access to operating systems shall be controlled by a secure log-on procedure"
"A.11.05.02","User identification and authentication","All users shall have a unique identifier (user ID) for their personal use only, and a suitable authentication technique shall be chosen to substantiate the claimed identity of a user"
"A.11.05.03","Password management system","Systems for managing passwords shall be interactive and shall ensure quality passwords"
"A.11.05.04","Use of system utilities","The use of utility programs that might be capable of overriding system and application controls shall be restricted and tightly controlled"
"A.11.05.05","Session time-out","Inactive sessions shall shut down after a defined period of inactivity"
"A.11.05.06","Limitation of connection time","Restrictions on connection times shall be used to provide additional security for high-risk applications"
"A.11.06.01","Information access restriction","Access to information and application system functions by users and support personnel shall be restricted in accordance with the defined access control policy"
"A.11.06.02","Sensitive system isolation","Sensitive systems shall have a dedicated (isolated) computing environment"
"A.11.07.01","Mobile computing and communications","A formal policy shall be in place, and appropriate security measures shall be adopted to protect against the risks of using mobile computing and communication facilities"
"A.11.07.02","Teleworking","A policy, operational plans and procedures shall be developed and implemented for teleworking activities"
"A.12.01.01","Security requirements analysis and specification","Statements of business requirements for new information systems, or enhancements to existing information systems shall specify the requirements for security controls"
"A.12.02.01","Input data validation","Data input to applications shall be validated to ensure that this data is correct and appropriate"
"A.12.02.02","Control of internal processing","Validation checks shall be incorporated into applications to detect any corruption of information through processing errors or deliberate acts"
"A.12.02.03","Message integrity","Requirements for ensuring authenticity and protecting message integrity in applications shall be identified, and appropriate controls identified and implemented"
"A.12.02.04","Output data validation","Data output from an application shall be validated to ensure that the processing of stored information is correct and appropriate to the circumstances"
"A.12.03.01","Policy on the use of cryptographic controls","A policy on the use of cryptographic controls for protection of information shall be developed and implemented"
"A.12.03.02","Key management","Key management shall be in place to support the organization’s use of cryptographic techniques"
"A.12.04.01","Control of operational software","There shall be procedures in place to control the installation of software on operational systems"
"A.12.04.02","Protection of system test data","Test data shall be selected carefully, and protected and controlled"
"A.12.04.03","Access control to program source code","Access to program source code shall be restricted"
"A.12.05.01","Change control procedures","The implementation of changes shall be controlled by the use of formal change control procedures"
"A.12.05.02","Technical review of applications after operating system changes","When operating systems are changed, business critical applications shall be reviewed and tested to ensure there is no adverse impact on organizational operations or security"
"A.12.05.03","Restrictions on changes to software packages","Modifications to software packages shall be discouraged, limited to necessary changes, and all changes shall be strictly controlled"
"A.12.05.04","Information leakage","Opportunities for information leakage shall be prevented"
"A.12.05.05","Outsourced software development","Outsourced software development shall be supervised and monitored by the organization"
"A.12.06.01","Control of technical vulnerabilities","Timely information about technical vulnerabilities of information systems being used shall be obtained, the organization's exposure to such vulnerabilities evaluated, and appropriate measures taken to address the associated risk"
"A.13.01.01","Reporting information security events","Control - Information security events shall be reported through appropriate management channels as quickly as possible"
"A.13.01.02","Reporting security weaknesses","Control - All employees, contractors and third party users of information systems and services shall be required to note and report any observed or suspected security weaknesses in systems or services"
"A.13.02.01","Responsibilities and procedures","Management responsibilities and procedures shall be established to ensure a quick, effective, and orderly response to information security incidents"
"A.13.02.02","Learning from information security incidents","There shall be mechanisms in place to enable the types, volumes, and costs of information security incidents to be quantified and monitored"
"A.13.02.03","Collection of evidence","Where a follow-up action against a person or organization after an information security incident involves legal action (either civil or criminal), evidence shall be collected, retained, and presented to conform to the rules for evidence laid down in the relevant jurisdiction(s)"
"A.14.01.01","Including information security in the business continuity management process","A managed process shall be developed and maintained for business continuity throughout the organization that addresses the information security requirements needed for the organization’s business continuity"
"A.14.01.02","Business continuity and risk assessment","Events that can cause interruptions to business processes shall be identified, along with the probability and impact of such interruptions and their consequences for information security"
"A.14.01.03","Developing and implementing continuity plans including information security","Plans shall be developed and implemented to maintain or restore operations and ensure availability of information at the required level and in the required time scales following interruption to, or failure of, critical business processes"
"A.14.01.04","Business continuity planning framework","A single framework of business continuity plans shall be maintained to ensure all plans are consistent, to consistently address information security requirements, and to identify priorities for testing and maintenance"
"A.14.01.05","Testing, maintaining and reassessing business continuity plans","Business continuity plans shall be tested and updated regularly to ensure that they are up to date and effective"
"A.15.01.01","Identification of applicable legislation","All relevant statutory, regulatory and contractual requirements and the organization’s approach to meet these requirements shall be explicitly defined, documented, and kept up to date for each information system and the organization"
"A.15.01.02","Intellectual property rights (IPR)","Appropriate procedures shall be implemented to ensure compliance with legislative, regulatory, and contractual requirements on the use of material in respect of which there may be intellectual property rights and on the use of proprietary software products"
"A.15.01.03","Protection of organizational records","Important records shall be protected from loss, destruction and falsification, in accordance with statutory, regulatory, contractual, and business requirements"
"A.15.01.04","Data protection and privacy of personal information","Data protection and privacy shall be ensured as required in relevant legislation, regulations, and, if applicable, contractual clauses"
"A.15.01.05","Prevention of misuse of information processing facilities","Users shall be deterred from using information processing facilities for unauthorized purposes"
"A.15.01.06","Regulation of cryptographic controls","Cryptographic controls shall be used in compliance with all relevant agreements, laws, and regulations"
"A.15.02.01","Compliance with security policies and standards","Managers shall ensure that all security procedures within their area of responsibility are carried out correctly to achieve compliance with security policies and standards"
"A.15.02.02","Technical compliance checking","Information systems shall be regularly checked for compliance with security implementation standards"
"A.15.03.01","Information systems audit controls","Audit requirements and activities involving checks on operational systems shall be carefully planned and agreed to minimize the risk of disruptions to business processes"
"A.15.03.02","Protection of information systems audit tools","Access to information systems audit tools shall be protected to prevent any possible misuse or compromise"
