id,group,cis_summary,mitigation
4.7,Vm,Ensure VM disks for critical VMs are encrypted with Customer-Supplied Encryption Keys (CSEK),
4.8,Vm,Ensure Compute instances are launched with Shielded VM enabled,Instance without Shielded Configuration
4.9,Vm,Ensure that Compute instances do not have public IP addresses,Instance with public IP address and any port exposure to 0.0.0.0/0
4.11,Vm,Ensure that App Engine applications enforce HTTPS connections,
5.1,Storage,Ensure that Cloud Storage bucket is not anonymously or publicly accessible,Storage Container Exposing Access To World
5.2,Storage,Ensure that Cloud Storage buckets have uniform bucket-level access enabled,Storage Container Without Uniform Bucket Level Access
6.1.1,DB,Ensure that a MySQL database instance does not allow anyone to connect with administrative privileges,Database Instance Allowing Root Login From Any Host
6.1.2,DB,Ensure that the 'local_infile' database flag for a Cloud SQL Mysql instance is set to 'off',Database Instance Flag 'local_infile' Enabled
6.2.1,DB,Ensure that the 'log_checkpoints' database flag for Cloud SQL PostgreSQL instance is set to 'on',Database Instance Flag 'log_checkpoints' Disabled
6.2.2,DB,Ensure that the 'log_connections' database flag for Cloud SQL PostgreSQL instance is set to 'on',Database Instance Flag 'log_connections' Disabled
6.2.3,DB,Ensure that the 'log_disconnections' database flag for Cloud SQL PostgreSQL instance is set to 'on',Database Instance Flag 'log_disconnections' Disabled
6.2.4,DB,Ensure that the 'log_lock_waits' database flag for Cloud SQL PostgreSQL instance is set to 'on',Database Instance Flag 'log_lock_waits' Disabled
6.2.5,DB,Ensure that the 'log_min_messages' database flag for Cloud SQL PostgreSQL instance is set appropriately,
6.2.6,DB,Ensure that the 'log_temp_files' database flag for Cloud SQL PostgreSQL instance is set to '0' (on),Database Instance Flag 'log_temp_files' Disabled
6.2.7,DB,Ensure that the 'log_min_duration_statement' database flag for Cloud SQL PostgreSQL instance is set to '-1' (disabled),Database Instance Flag 'log_min_duration_statement' Enabled
6.3.1,DB,Ensure that the 'cross db ownership chaining' database flag for Cloud SQL SQL Server instance is set to 'off',Database Instance Flag 'cross db ownership chaining' Enabled
6.3.2,DB,Ensure that the 'contained database authentication' database flag for Cloud SQL on the SQL Server instance is set to 'off',Database Instance Flag 'contained database authentication' Enabled
6.4,DB,Ensure that the Cloud SQL database instance requires all incoming connections to use SSL,Database Instance Not Enforcing Transit Encryption
6.5,DB,Ensure that Cloud SQL database instances are not open to the world,Database Instance Publicly Accessible
6.6,DB,Ensure that Cloud SQL database instances do not have public IPs,Database Instance Publicly Accessible
6.7,DB,Ensure that Cloud SQL database instances are configured with automated backups,Database Instance Retention Policy Too Low
